user_id,region,country,subscription_plan,months_subscribed,usage_frequency,feature_adoption,failed_payments,support_tickets,last_active_days_ago,prompt_volume,api_or_app,renewal_behavior
NMC000084,North America,United States,Pro,17,22,8,0,1,6,1348,API,Renewed
NMC000085,Europe,Germany,Free,7,13,4,0,0,18,249,API,Skipped
NMC000086,North America,United States,Free,7,4,4,0,1,61,188,API,Downgraded
NMC000087,Africa,Ghana,Business,37,23,9,0,0,3,4306,API,Renewed
NMC000088,Europe,Germany,Pro,27,27,9,0,2,0,1985,App,Renewed
NMC000089,North America,Canada,Pro,15,13,7,0,0,6,721,App,Renewed
NMC000090,Europe,France,Free,4,18,4,0,2,6,226,App,Downgraded
NMC000091,Africa,Kenya,Business,23,24,8,0,2,3,5615,API,Skipped
NMC000092,Europe,Netherlands,Free,7,14,3,0,0,9,135,App,Downgraded
NMC000093,Africa,Senegal,Pro,7,23,10,0,1,2,1736,API,Renewed
NMC000094,Europe,Italy,Pro,20,20,10,1,1,2,1626,App,Renewed
NMC000095,North America,Mexico,Free,6,12,4,0,1,15,101,App,Downgraded
NMC000096,Oceania,Australia,Free,5,6,5,0,1,23,180,App,Skipped
NMC000097,Europe,Sweden,Free,8,14,2,0,0,8,176,App,Skipped
NMC000098,Africa,Kenya,Pro,2,11,7,0,2,2,1463,API,Renewed
NMC000099,Africa,Nigeria,Free,9,10,5,0,3,21,282,App,Skipped
NMC000100,Latin America,Colombia,Pro,6,8,8,0,4,10,1461,App,Renewed
NMC000101,Africa,Rwanda,Pro,32,22,9,1,0,4,1593,API,Downgraded
NMC000102,Asia,Indonesia,Free,11,11,5,0,3,14,181,App,Skipped
NMC000103,North America,Canada,Business,26,26,10,0,3,4,6121,API,Renewed
NMC000104,Africa,Côte d’Ivoire,Business,25,20,7,0,5,6,4083,API,Renewed
NMC000105,Africa,Morocco,Business,43,19,4,0,1,9,3698,API,Renewed
NMC000106,Africa,Nigeria,Free,12,7,5,0,2,13,212,App,Skipped
NMC000107,Asia,Philippines,Pro,17,17,7,0,2,28,1190,API,Renewed
NMC000108,Africa,Nigeria,Pro,17,17,6,2,1,2,1401,API,Skipped
NMC000109,North America,United States,Pro,40,21,8,0,2,7,585,App,Renewed
NMC000110,Oceania,Australia,Pro,42,13,8,0,2,42,1253,API,Renewed
NMC000111,North America,Mexico,Free,4,16,5,0,1,22,251,App,Skipped
NMC000112,Asia,Indonesia,Pro,18,18,6,0,1,8,859,API,Renewed
NMC000113,Latin America,Argentina,Free,11,9,5,0,0,43,222,App,Skipped
NMC000114,Asia,Indonesia,Pro,24,20,8,0,3,2,584,App,Renewed
NMC000115,Africa,South Africa,Free,2,7,2,0,1,8,163,App,Skipped
NMC000116,Africa,Ghana,Free,5,17,4,0,0,18,145,App,Renewed
NMC000117,Africa,Tanzania,Business,39,26,8,1,2,3,6334,API,Skipped
NMC000118,Africa,Nigeria,Pro,11,18,4,0,1,18,1483,API,Renewed
NMC000119,Europe,Sweden,Pro,19,20,6,2,1,3,1872,App,Skipped
NMC000120,Asia,United Arab Emirates,Pro,17,29,10,0,3,1,2740,App,Renewed
NMC000121,Asia,United Arab Emirates,Pro,34,28,10,0,4,2,2677,API,Renewed
NMC000122,Africa,South Africa,Pro,47,10,8,1,1,3,936,App,Renewed
NMC000123,Europe,Italy,Business,23,27,8,0,1,3,2445,App,Renewed
NMC000124,Africa,Ghana,Pro,41,21,8,0,0,4,1981,App,Renewed
NMC000125,Africa,Ghana,Business,17,25,4,0,4,2,3871,API,Renewed
NMC000126,Europe,Spain,Free,7,0,5,0,0,99,43,App,Skipped
NMC000127,Africa,Kenya,Business,18,16,7,0,0,16,2631,API,Renewed
NMC000128,Africa,Morocco,Free,4,9,3,0,3,2,150,App,Downgraded
NMC000129,Africa,Ghana,Free,4,1,2,0,2,20,105,App,Downgraded
NMC000130,North America,Canada,Free,2,15,4,0,4,3,144,App,Skipped
NMC000131,North America,United States,Free,4,2,5,0,0,29,149,App,Skipped
NMC000132,Europe,Germany,Business,32,30,4,0,0,1,3538,API,Renewed
NMC000133,North America,United States,Free,3,15,3,0,2,34,178,App,Skipped
NMC000134,North America,United States,Free,14,10,7,0,0,7,220,App,Skipped
NMC000135,North America,United States,Free,1,6,1,0,2,22,156,App,Skipped
NMC000136,Africa,Kenya,Business,48,10,10,0,2,2,2832,API,Skipped
NMC000137,Europe,Spain,Pro,5,11,7,0,1,19,524,App,Renewed
NMC000138,Asia,Indonesia,Pro,10,13,5,1,0,11,1255,App,Renewed
NMC000139,North America,United States,Free,11,12,7,0,3,47,262,API,Downgraded
NMC000140,North America,Canada,Free,6,17,3,0,2,2,260,App,Skipped
NMC000141,Europe,Germany,Free,16,18,4,0,0,22,131,App,Skipped
NMC000142,North America,United States,Pro,8,21,5,1,2,9,965,App,Skipped
NMC000143,Asia,India,Pro,14,20,7,0,2,5,1928,App,Renewed
NMC000144,Europe,France,Pro,48,24,10,0,2,1,2247,App,Renewed
NMC000145,North America,United States,Pro,23,18,6,0,1,12,678,App,Skipped
NMC000146,North America,United States,Free,7,5,4,0,3,12,195,App,Downgraded
NMC000147,North America,United States,Pro,9,19,5,0,0,0,1236,API,Renewed
NMC000148,Europe,Netherlands,Business,13,16,10,0,2,9,3758,API,Renewed
NMC000149,Africa,Kenya,Business,17,19,6,0,3,8,2436,API,Renewed
NMC000150,Africa,Kenya,Pro,38,23,7,2,2,2,958,App,Skipped
NMC000151,Asia,Indonesia,Free,6,16,7,0,3,24,177,App,Renewed
NMC000152,Asia,United Arab Emirates,Business,14,17,9,0,2,8,3017,App,Renewed
NMC000153,North America,United States,Business,48,26,6,0,5,2,4729,API,Renewed
NMC000154,Asia,Singapore,Free,16,19,2,0,1,32,194,App,Skipped
NMC000155,Latin America,Brazil,Pro,12,19,4,2,0,13,1118,API,Skipped
NMC000156,Europe,Germany,Free,10,9,6,0,0,3,193,App,Skipped
NMC000157,Europe,Germany,Pro,43,26,10,0,0,1,1866,API,Renewed
NMC000158,Africa,Senegal,Pro,28,29,6,0,0,1,1794,App,Renewed
NMC000159,Africa,South Africa,Business,48,19,6,1,2,9,2962,App,Renewed
NMC000160,Asia,United Arab Emirates,Free,18,4,3,0,1,102,142,API,Renewed
NMC000161,Asia,Philippines,Pro,20,24,9,0,0,1,1319,App,Downgraded
NMC000162,North America,Canada,Pro,8,16,4,0,1,18,1284,API,Downgraded
NMC000163,Europe,Germany,Free,24,4,7,0,1,32,172,API,Downgraded
NMC000164,North America,United States,Business,48,21,9,0,2,9,5465,API,Renewed
NMC000165,North America,United States,Pro,11,20,8,0,2,2,1085,App,Downgraded
NMC000166,Europe,France,Pro,7,19,6,0,2,10,1760,API,Renewed
NMC000167,Europe,United Kingdom,Free,10,0,4,0,1,53,55,App,Renewed
NMC000168,Africa,South Africa,Business,37,22,7,0,6,1,5274,API,Renewed
NMC000169,Africa,Ghana,Free,5,5,5,0,0,73,114,App,Renewed
NMC000170,North America,United States,Pro,38,23,6,0,2,3,1765,API,Renewed
NMC000171,Europe,United Kingdom,Pro,6,22,7,0,2,4,2047,API,Renewed
NMC000172,Europe,Germany,Business,22,30,10,0,1,1,4115,App,Downgraded
NMC000173,Asia,India,Pro,6,13,3,0,0,6,1098,API,Skipped
NMC000174,Europe,Germany,Pro,20,23,10,1,0,3,1605,App,Renewed
NMC000175,Africa,Ghana,Free,3,9,4,0,2,21,134,App,Skipped
NMC000176,Africa,Kenya,Pro,8,16,6,1,2,7,625,App,Downgraded
NMC000177,Europe,United Kingdom,Business,24,20,10,0,3,1,3512,API,Renewed
NMC000178,Europe,Netherlands,Pro,41,25,8,0,0,2,2036,App,Renewed
NMC000179,Europe,Spain,Business,22,30,7,0,1,2,3830,App,Renewed
NMC000180,Europe,Sweden,Pro,20,24,6,0,0,2,1931,App,Renewed
NMC000181,Europe,Germany,Pro,5,7,8,0,1,6,777,API,Skipped
NMC000182,North America,United States,Pro,22,27,7,0,2,3,1046,App,Renewed
NMC000183,Africa,South Africa,Pro,36,19,10,0,0,6,1137,App,Renewed
NMC000184,Oceania,Australia,Pro,8,22,8,1,1,5,1048,App,Renewed
NMC000185,Europe,United Kingdom,Free,12,10,5,0,0,8,146,App,Downgraded
NMC000186,Asia,Philippines,Free,6,9,4,0,1,15,54,App,Skipped
NMC000187,North America,United States,Pro,26,26,6,0,3,1,1378,App,Renewed
NMC000188,Latin America,Argentina,Pro,18,24,10,2,0,4,1550,API,Downgraded
NMC000189,North America,Canada,Pro,9,23,4,0,0,3,702,App,Renewed
NMC000190,Europe,France,Pro,25,30,9,0,1,1,2232,App,Renewed
NMC000191,Africa,Nigeria,Business,48,30,8,0,1,1,6807,API,Renewed
NMC000192,Africa,Tanzania,Pro,21,24,7,0,1,3,1195,API,Skipped
NMC000193,Africa,Nigeria,Business,36,20,8,3,2,3,3907,API,Skipped
NMC000194,North America,Canada,Pro,20,23,8,0,1,2,1184,App,Renewed
NMC000195,Africa,Morocco,Pro,18,13,7,1,1,10,1475,App,Renewed
NMC000196,Asia,India,Pro,30,17,9,0,1,24,977,App,Downgraded
NMC000197,Africa,Nigeria,Pro,29,17,5,0,1,8,734,App,Renewed
NMC000198,North America,Canada,Pro,14,24,5,0,1,1,1331,App,Downgraded
NMC000199,Latin America,Argentina,Business,33,16,5,0,0,34,2254,API,Renewed
NMC000200,Asia,Indonesia,Business,48,30,6,1,2,5,4174,API,Skipped
NMC000201,Africa,Tanzania,Business,28,24,9,0,1,4,4420,App,Renewed
NMC000202,Europe,France,Pro,15,21,8,0,0,1,1443,App,Renewed
NMC000203,North America,United States,Pro,47,18,10,0,0,18,1566,App,Renewed
NMC000204,North America,Mexico,Free,9,6,4,0,0,37,132,App,Skipped
NMC000205,Africa,Nigeria,Pro,7,13,7,2,0,9,650,API,Downgraded
NMC000206,Asia,Singapore,Pro,5,10,9,0,2,2,1027,App,Renewed
NMC000207,North America,United States,Pro,6,24,3,0,1,4,973,API,Downgraded
NMC000208,North America,United States,Free,2,3,5,0,4,91,177,App,Skipped
NMC000209,Africa,Côte d’Ivoire,Free,13,10,5,0,1,29,177,App,Skipped
NMC000210,Africa,Nigeria,Pro,12,22,6,1,0,3,1001,App,Renewed
NMC000211,Europe,Germany,Free,5,5,6,0,3,27,127,App,Renewed
NMC000212,North America,United States,Pro,6,26,8,0,2,3,2215,API,Skipped
NMC000213,Europe,France,Free,5,15,2,0,0,18,154,App,Skipped
NMC000214,North America,United States,Business,48,27,10,0,2,4,6377,API,Renewed
NMC000215,Africa,Uganda,Pro,22,19,6,0,2,14,689,App,Renewed
NMC000216,Europe,France,Free,7,12,4,0,1,6,124,App,Skipped
NMC000217,Asia,Philippines,Pro,8,23,7,2,1,1,1143,App,Skipped
NMC000218,Asia,India,Pro,20,25,9,1,0,3,1841,App,Downgraded
NMC000219,Europe,Italy,Pro,26,20,7,0,1,5,907,App,Downgraded
NMC000220,North America,United States,Pro,16,25,6,0,1,2,1027,App,Renewed
NMC000221,Africa,Senegal,Pro,20,23,6,0,0,5,2074,API,Renewed
NMC000222,North America,Canada,Pro,41,12,10,0,1,7,1236,App,Downgraded
NMC000223,Africa,Egypt,Business,9,12,6,0,2,38,1359,App,Renewed
NMC000224,North America,United States,Pro,10,19,5,0,1,14,1407,API,Renewed
NMC000225,North America,United States,Pro,30,26,4,0,2,2,1386,API,Renewed
NMC000226,Africa,Kenya,Business,22,23,7,1,3,1,3893,API,Renewed
NMC000227,North America,Canada,Pro,19,21,5,0,1,3,1279,App,Downgraded
NMC000228,Africa,Ghana,Pro,13,18,8,1,0,10,1364,API,Renewed
NMC000229,North America,United States,Pro,21,27,9,0,2,3,1942,App,Renewed
NMC000230,North America,Canada,Free,7,19,1,0,3,4,203,App,Renewed
NMC000231,Africa,South Africa,Pro,18,20,7,0,1,2,418,App,Downgraded
NMC000232,North America,United States,Free,12,11,8,0,0,9,246,App,Downgraded
NMC000233,North America,United States,Business,25,21,10,0,6,1,3536,App,Renewed
NMC000234,Latin America,Chile,Free,3,5,5,0,4,24,86,App,Renewed
NMC000235,Africa,Côte d’Ivoire,Business,22,22,9,0,2,4,4755,API,Renewed
NMC000236,North America,United States,Pro,27,22,8,1,1,6,1423,App,Renewed
NMC000237,Africa,Egypt,Business,23,17,9,0,2,12,2830,API,Renewed
NMC000238,Asia,India,Free,6,17,4,0,2,6,241,API,Skipped
NMC000239,Africa,South Africa,Business,42,26,5,1,4,1,3379,App,Renewed
NMC000240,Africa,Ghana,Free,48,12,3,0,0,19,158,App,Renewed
NMC000241,Africa,South Africa,Pro,12,21,8,0,2,1,843,App,Renewed
NMC000242,Latin America,Argentina,Business,30,29,8,0,2,1,7236,API,Renewed
NMC000243,Africa,South Africa,Free,4,8,4,0,4,29,124,App,Skipped
NMC000244,North America,United States,Business,43,30,6,0,3,1,3756,App,Renewed
NMC000245,Africa,Nigeria,Pro,13,15,7,1,1,16,1259,API,Downgraded
NMC000246,North America,United States,Free,22,7,7,0,3,26,110,App,Skipped
NMC000247,Asia,Singapore,Free,1,8,2,0,1,7,212,App,Downgraded
NMC000248,Asia,United Arab Emirates,Free,15,7,3,0,0,14,121,App,Renewed
NMC000249,Africa,Ghana,Pro,34,22,9,0,0,3,2005,API,Renewed
NMC000250,Europe,Germany,Pro,48,23,6,0,1,1,1215,API,Renewed
NMC000251,Africa,Kenya,Free,7,5,5,0,2,21,193,App,Downgraded
NMC000252,North America,United States,Pro,7,23,3,0,0,7,960,App,Renewed
NMC000253,Africa,Nigeria,Pro,29,17,8,0,0,1,1148,App,Renewed
NMC000254,Europe,United Kingdom,Free,3,8,5,0,1,5,173,App,Skipped
NMC000255,Asia,United Arab Emirates,Free,5,1,5,0,0,56,71,App,Renewed
NMC000256,Africa,Côte d’Ivoire,Pro,9,20,7,1,0,1,1319,API,Skipped
NMC000257,Europe,France,Free,4,3,4,0,0,11,81,App,Skipped
NMC000258,Africa,Egypt,Business,17,21,6,1,0,11,3813,App,Renewed
NMC000259,Asia,United Arab Emirates,Pro,30,9,6,0,2,17,781,App,Downgraded
NMC000260,Africa,Côte d’Ivoire,Pro,2,11,5,0,1,18,680,API,Downgraded
NMC000261,North America,Canada,Free,8,9,5,0,0,68,210,App,Skipped
NMC000262,North America,Mexico,Free,6,8,6,0,0,7,208,App,Downgraded
NMC000263,Europe,Netherlands,Pro,10,25,5,0,2,1,2178,API,Downgraded
NMC000264,North America,United States,Pro,18,21,7,1,1,2,1524,App,Renewed
NMC000265,North America,Mexico,Free,2,8,6,0,1,32,63,App,Renewed
NMC000266,Europe,United Kingdom,Free,6,22,4,0,4,2,238,App,Skipped
NMC000267,Africa,Ghana,Free,1,4,5,0,1,56,155,App,Downgraded
NMC000268,Europe,France,Pro,29,23,9,1,1,4,1579,App,Renewed
NMC000269,Oceania,Australia,Pro,29,25,10,0,2,0,1860,API,Downgraded
NMC000270,Asia,Indonesia,Pro,21,24,7,1,1,1,1907,App,Skipped
NMC000271,Africa,Nigeria,Free,4,8,3,0,1,15,175,API,Downgraded
NMC000272,Africa,Egypt,Pro,17,9,9,1,1,37,1176,App,Downgraded
NMC000273,Asia,Japan,Pro,5,20,5,0,3,2,1626,App,Skipped
NMC000274,Africa,Egypt,Free,2,3,2,0,1,33,37,App,Skipped
NMC000275,Africa,Ghana,Pro,22,23,8,0,2,6,1794,App,Downgraded
NMC000276,North America,United States,Free,4,6,3,0,0,14,122,App,Renewed
NMC000277,Europe,United Kingdom,Pro,12,21,8,0,1,5,1727,API,Downgraded
NMC000278,Europe,United Kingdom,Free,11,10,5,0,0,28,182,API,Downgraded
NMC000279,North America,Canada,Pro,14,28,6,0,2,2,1489,API,Skipped
NMC000280,Africa,Rwanda,Free,29,6,6,0,2,20,115,App,Skipped
NMC000281,North America,United States,Free,8,17,8,0,1,17,350,App,Skipped
NMC000282,Asia,Japan,Free,14,18,7,0,0,13,183,App,Renewed
NMC000283,North America,United States,Free,6,24,8,0,1,2,462,App,Renewed
NMC000284,Africa,Botswana,Business,33,19,6,0,2,6,3013,API,Renewed
NMC000285,North America,Mexico,Free,6,5,1,0,0,21,45,App,Renewed
NMC000286,Europe,Germany,Business,45,20,8,0,0,2,3270,API,Renewed
NMC000287,Africa,Côte d’Ivoire,Free,1,6,7,0,0,21,180,API,Renewed
NMC000288,Latin America,Colombia,Pro,19,19,9,0,2,13,1371,App,Renewed
NMC000289,Europe,United Kingdom,Business,25,25,8,0,1,4,5572,API,Downgraded
NMC000290,North America,Mexico,Business,8,20,6,0,3,3,3412,API,Renewed
NMC000291,Europe,Netherlands,Pro,16,12,10,0,2,7,1182,App,Downgraded
NMC000292,Europe,France,Pro,42,22,8,0,0,5,2012,App,Skipped
NMC000293,Africa,Nigeria,Pro,8,9,8,0,0,37,1150,App,Skipped
NMC000294,North America,United States,Pro,23,26,7,0,1,6,1706,API,Renewed
NMC000295,Europe,Spain,Pro,19,26,7,0,0,1,1059,App,Renewed
NMC000296,North America,United States,Pro,4,15,4,0,1,11,1250,API,Renewed
NMC000297,North America,Mexico,Free,8,14,1,0,3,5,142,App,Downgraded
NMC000298,Europe,Sweden,Pro,3,23,5,0,0,1,908,App,Renewed
NMC000299,Latin America,Brazil,Business,17,20,9,0,2,3,1319,App,Downgraded
NMC000300,Africa,South Africa,Pro,11,15,6,0,2,18,1080,API,Renewed
NMC000301,Latin America,Brazil,Free,7,5,3,0,2,87,126,App,Downgraded
NMC000302,North America,United States,Free,2,6,5,0,2,22,182,App,Skipped
NMC000303,Africa,Morocco,Pro,26,13,8,2,1,8,1180,App,Skipped
NMC000304,North America,Canada,Pro,11,30,7,0,1,1,1906,App,Renewed
NMC000305,Latin America,Argentina,Free,1,3,3,0,2,27,110,App,Skipped
NMC000306,Europe,Sweden,Pro,12,16,9,0,1,37,1140,App,Renewed
NMC000307,Asia,Singapore,Business,18,26,10,0,2,5,7231,API,Renewed
NMC000308,Africa,South Africa,Business,40,21,7,2,1,6,3491,App,Skipped
NMC000309,North America,Canada,Business,16,18,7,0,5,11,3156,App,Renewed
NMC000310,North America,United States,Pro,27,26,5,0,1,1,1592,App,Renewed
NMC000311,Africa,Ghana,Free,10,10,2,0,0,37,206,App,Renewed
NMC000312,Latin America,Peru,Pro,48,21,7,1,0,2,1263,API,Renewed
NMC000313,Latin America,Argentina,Pro,12,23,10,0,0,4,2229,App,Renewed
NMC000314,Africa,Morocco,Business,37,27,7,0,4,2,4145,API,Renewed
NMC000315,North America,Mexico,Pro,34,27,6,1,1,0,1430,App,Renewed
NMC000316,Europe,Netherlands,Business,19,20,9,0,1,4,2232,App,Renewed
NMC000317,Asia,Philippines,Pro,8,26,7,0,0,4,839,App,Renewed
NMC000318,Europe,Sweden,Pro,11,23,7,0,1,4,1974,App,Renewed
NMC000319,Africa,Tanzania,Free,7,15,6,0,1,6,402,API,Downgraded
NMC000320,Europe,United Kingdom,Business,41,24,10,0,3,3,7048,API,Renewed
NMC000321,North America,United States,Pro,17,8,7,0,0,28,766,App,Downgraded
NMC000322,Asia,Indonesia,Free,5,9,4,0,1,22,137,App,Renewed
NMC000323,Latin America,Colombia,Business,14,23,10,0,2,6,4377,API,Renewed
NMC000324,Asia,Japan,Business,48,26,8,0,3,2,5544,API,Renewed
NMC000325,Africa,Morocco,Free,2,15,5,0,2,9,292,App,Skipped
NMC000326,North America,United States,Free,6,20,3,0,0,3,95,App,Skipped
NMC000327,Africa,Morocco,Pro,16,13,8,0,1,37,1090,API,Renewed
NMC000328,Africa,Morocco,Free,7,1,8,0,5,44,139,App,Skipped
NMC000329,Asia,Philippines,Pro,22,18,7,0,1,9,815,App,Renewed
NMC000330,Europe,Spain,Free,5,16,6,0,1,14,242,App,Renewed
NMC000331,Asia,Japan,Pro,20,14,6,0,0,8,1518,API,Renewed
NMC000332,Latin America,Argentina,Pro,15,30,8,0,0,2,1803,App,Renewed
NMC000333,Africa,Côte d’Ivoire,Pro,40,22,7,0,1,3,399,App,Renewed
NMC000334,Asia,India,Pro,11,21,7,0,3,2,1236,App,Renewed
NMC000335,Europe,Spain,Pro,31,25,10,0,0,2,2214,API,Renewed
NMC000336,North America,United States,Business,25,21,10,0,0,1,2762,App,Renewed
NMC000337,Africa,Côte d’Ivoire,Free,17,9,4,0,0,19,183,App,Skipped
NMC000338,North America,Canada,Pro,48,18,9,0,0,5,1334,App,Renewed
NMC000339,Europe,Sweden,Free,18,8,5,0,0,19,150,App,Skipped
NMC000340,Europe,France,Free,8,20,5,0,0,2,418,App,Skipped
NMC000341,Africa,Kenya,Business,15,14,8,0,5,14,3718,API,Renewed
NMC000342,Europe,Netherlands,Business,28,25,9,0,3,2,4398,API,Skipped
NMC000343,North America,United States,Pro,14,18,8,0,0,11,1074,App,Renewed
NMC000344,Asia,Singapore,Business,16,24,8,1,1,2,4384,App,Renewed
NMC000345,Europe,France,Free,8,7,4,0,0,33,104,App,Skipped
NMC000346,North America,United States,Free,7,12,4,0,1,7,221,App,Downgraded
NMC000347,North America,United States,Pro,14,26,8,0,0,2,2381,API,Renewed
NMC000348,Africa,Nigeria,Free,9,0,2,0,2,25,67,App,Downgraded
